,Scenario,Year,Unit,Variable,Value
0,Current Measures,2005,Megatonnes,Total,726.676389858023
1,Current Measures,2006,Megatonnes,Total,705.9536556105
2,Current Measures,2007,Megatonnes,Total,731.193600372274
3,Current Measures,2008,Megatonnes,Total,709.42526213936
4,Current Measures,2009,Megatonnes,Total,640.754212362474
5,Current Measures,2010,Megatonnes,Total,683.694543186685
6,Current Measures,2011,Megatonnes,Total,699.362068102402
7,Current Measures,2012,Megatonnes,Total,695.182800178982
8,Current Measures,2013,Megatonnes,Total,703.363108084667
9,Current Measures,2014,Megatonnes,Total,680.879488179281
10,Current Measures,2015,Megatonnes,Total,722.940317196629
11,Current Measures,2016,Megatonnes,Total,693.969938068246
12,Current Measures,2017,Megatonnes,Total,696.005530999964
13,Current Measures,2018,Megatonnes,Total,713.321329181956
14,Current Measures,2019,Megatonnes,Total,704.858189434808
15,Current Measures,2020,Megatonnes,Total,645.400501270509
16,Current Measures,2021,Megatonnes,Total,653.125114018173
17,Current Measures,2022,Megatonnes,Total,671.863305436461
18,Current Measures,2023,Megatonnes,Total,679.156646293249
19,Current Measures,2024,Megatonnes,Total,667.190133115378
20,Current Measures,2025,Megatonnes,Total,653.629609292164
21,Current Measures,2026,Megatonnes,Total,648.95614086186
22,Current Measures,2027,Megatonnes,Total,645.078919313886
23,Current Measures,2028,Megatonnes,Total,636.720624664357
24,Current Measures,2029,Megatonnes,Total,625.408104019304
25,Current Measures,2030,Megatonnes,Total,612.566791813302
26,Current Measures,2031,Megatonnes,Total,607.089600181884
27,Current Measures,2032,Megatonnes,Total,600.46560503119
28,Current Measures,2033,Megatonnes,Total,595.52770974955
29,Current Measures,2034,Megatonnes,Total,585.209893616898
30,Current Measures,2035,Megatonnes,Total,582.178170413632
31,Current Measures,2036,Megatonnes,Total,578.638496735121
32,Current Measures,2037,Megatonnes,Total,576.156218542094
33,Current Measures,2038,Megatonnes,Total,573.986580844589
34,Current Measures,2039,Megatonnes,Total,571.882972044573
35,Current Measures,2040,Megatonnes,Total,570.312871850754
36,Current Measures,2041,Megatonnes,Total,567.430969056074
37,Current Measures,2042,Megatonnes,Total,565.678564311166
38,Current Measures,2043,Megatonnes,Total,563.122477708473
39,Current Measures,2044,Megatonnes,Total,561.03555057137
40,Current Measures,2045,Megatonnes,Total,559.654745383213
41,Current Measures,2046,Megatonnes,Total,560.300217657804
42,Current Measures,2047,Megatonnes,Total,561.169675078959
43,Current Measures,2048,Megatonnes,Total,562.363227357606
44,Current Measures,2049,Megatonnes,Total,564.345734070504
45,Current Measures,2050,Megatonnes,Total,566.447134388071
46,Current Measures,2005,Megatonnes,Electricity,117.58324080937
47,Current Measures,2006,Megatonnes,Electricity,111.62446664615
48,Current Measures,2007,Megatonnes,Electricity,119.657399499057
49,Current Measures,2008,Megatonnes,Electricity,108.886855792309
50,Current Measures,2009,Megatonnes,Electricity,93.7705404789474
51,Current Measures,2010,Megatonnes,Electricity,94.5998258504498
52,Current Measures,2011,Megatonnes,Electricity,86.8736737470649
53,Current Measures,2012,Megatonnes,Electricity,83.3040619415771
54,Current Measures,2013,Megatonnes,Electricity,79.7009609694916
55,Current Measures,2014,Megatonnes,Electricity,76.2877812455184
56,Current Measures,2015,Megatonnes,Electricity,78.9485947617741
57,Current Measures,2016,Megatonnes,Electricity,74.256745433
58,Current Measures,2017,Megatonnes,Electricity,72.6056960203215
59,Current Measures,2018,Megatonnes,Electricity,62.7414022749015
60,Current Measures,2019,Megatonnes,Electricity,61.6066678475092
61,Current Measures,2020,Megatonnes,Electricity,53.6844601523353
62,Current Measures,2021,Megatonnes,Electricity,51.6778138928881
63,Current Measures,2022,Megatonnes,Electricity,54.333848500204
64,Current Measures,2023,Megatonnes,Electricity,52.2014675386623
65,Current Measures,2024,Megatonnes,Electricity,47.2585099204501
66,Current Measures,2025,Megatonnes,Electricity,38.3015709105882
67,Current Measures,2026,Megatonnes,Electricity,39.1946783843734
68,Current Measures,2027,Megatonnes,Electricity,40.0030633750133
69,Current Measures,2028,Megatonnes,Electricity,38.604032711255
70,Current Measures,2029,Megatonnes,Electricity,35.9149152067266
71,Current Measures,2030,Megatonnes,Electricity,31.0904856391529
72,Current Measures,2031,Megatonnes,Electricity,31.6116003646054
73,Current Measures,2032,Megatonnes,Electricity,32.3468639843179
74,Current Measures,2033,Megatonnes,Electricity,32.5567069083293
75,Current Measures,2034,Megatonnes,Electricity,31.3416762975445
76,Current Measures,2035,Megatonnes,Electricity,30.7619371072043
77,Current Measures,2036,Megatonnes,Electricity,30.0305094337068
78,Current Measures,2037,Megatonnes,Electricity,29.4512362975487
79,Current Measures,2038,Megatonnes,Electricity,29.0028282931375
80,Current Measures,2039,Megatonnes,Electricity,27.8542121208002
81,Current Measures,2040,Megatonnes,Electricity,26.7671828429677
82,Current Measures,2041,Megatonnes,Electricity,24.5772661211025
83,Current Measures,2042,Megatonnes,Electricity,23.4014927383272
84,Current Measures,2043,Megatonnes,Electricity,21.5691009305697
85,Current Measures,2044,Megatonnes,Electricity,19.5197399701395
86,Current Measures,2045,Megatonnes,Electricity,18.0087073200368
87,Current Measures,2046,Megatonnes,Electricity,17.7953867681786
88,Current Measures,2047,Megatonnes,Electricity,17.9375845023336
89,Current Measures,2048,Megatonnes,Electricity,17.8774659369314
90,Current Measures,2049,Megatonnes,Electricity,17.9410339761379
91,Current Measures,2050,Megatonnes,Electricity,18.0342712379381
